subject,game_id,local_index
George Pickens,W2,57.20387563626027
Drake Maye,W2,62.15786731156079
TreVeyon Henderson,W2,10.743135181234935
Stefon Diggs,W2,37.997468986469855
Kayshon Boutte,W2,59.58994918105675
Jalen Hurts,W3,66.50080901250382
Saquon Barkley,W3,69.68875306119892
AJ Brown,W3,63.15505218778762
Quinyon Mitchell,W3,93.51248425063814
Zack Baun,W3,90.8447172357204
Josh Allen,W3,43.885662805364376
James Cook,W3,70.4437394176719
Dalton Kincaid,W3,73.68715419559473
Matt Milano,W3,49.83046902347249
Greg Rousseau,W3,64.95208394830709
Joe Burrow,W3,9.226085021513216
JaMarr Chase,W3,52.19477966108933
Tee Higgins,W3,45.4251421456012
Trey Hendrickson,W3,28.504012484275776
Evan McPherson,W3,65.89946451665833
Daniel Jones,W3,61.030803786418005
Jonathan Taylor,W3,95.85087765031588
Michael Pittman Jr,W3,98.2349849921806
Quenton Nelson,W3,50.1626756825719
Laiatu Latu,W3,44.45797671451138
Patrick Mahomes,W3,62.58983924021395
Travis Kelce,W3,37.46041214162656
Xavier Worthy,W3,32.97141145243078
Caleb Williams,W3,46.76429096033241
DJ Moore,W3,76.49433706352944
Keenan Allen,W3,48.47953919420679
Rome Odunze,W3,86.44605830699828
Jaylon Johnson,W3,73.005534711126
Baker Mayfield,W3,91.522115811963
Mike Evans,W3,38.16150108447798
Chris Godwin,W3,55.39373532009164
Antoine Winfield Jr,W3,70.98628095524967
Vita Vea,W3,67.26691290578864
Sam Darnold,W3,92.6895391690511
Jaxon Smith-Njigba,W3,93.52121511834896
Kenneth Walker III,W3,67.57223304975764
Devon Witherspoon,W3,40.67120834647048
Dak Prescott,W3,9.834919130965854
CeeDee Lamb,W3,0.0
Quinnen Williams,W3,54.325407398357065
Javonte Williams,W3,20.76322247400312
George Pickens,W3,27.00234554586476
Drake Maye,W3,100.0
TreVeyon Henderson,W3,44.64695910412416
Jalen Hurts,W4,18.094144693203354
Saquon Barkley,W4,17.29164949693842
AJ Brown,W4,30.50640319642059
Quinyon Mitchell,W4,77.36442770998005
Zack Baun,W4,77.024334021161
Josh Allen,W4,50.62366466384013
James Cook,W4,71.39588442945328
Dalton Kincaid,W4,72.693640604237
Matt Milano,W4,33.05126948992107
Greg Rousseau,W4,12.307759298381567
Joe Burrow,W4,21.624217480530184
JaMarr Chase,W4,12.895345457217026
Tee Higgins,W4,25.23590459887825
Trey Hendrickson,W4,29.72325738833488
Evan McPherson,W4,52.98328323859548
Daniel Jones,W4,35.347225868921164
Jonathan Taylor,W4,27.165183913539785
Michael Pittman Jr,W4,81.23110753494893
Quenton Nelson,W4,71.13071519661845
Laiatu Latu,W4,94.8712163741658
Patrick Mahomes,W4,52.94163919399134
Travis Kelce,W4,99.59124312519982
Chris Jones,W4,66.1678523006541
Xavier Worthy,W4,92.66158105155492
Caleb Williams,W4,52.34373379109807
DJ Moore,W4,39.510249131180494
Keenan Allen,W4,0.0
Rome Odunze,W4,75.5094075732475
Jaylon Johnson,W4,73.83063157205963
Baker Mayfield,W4,45.18019910979994
Mike Evans,W4,30.95006370497317
Chris Godwin,W4,48.12716275154709
Vita Vea,W4,39.76417934040775
Sam Darnold,W4,48.760836723406165
Jaxon Smith-Njigba,W4,57.20083150855246
Tariq Woolen,W4,20.747533761723822
Kenneth Walker III,W4,34.52058179913755
Devon Witherspoon,W4,52.68697798747365
Dak Prescott,W4,71.9185834455667
CeeDee Lamb,W4,21.51021795858968
Javonte Williams,W4,67.0856815157207
George Pickens,W4,65.64718483394812
Drake Maye,W4,82.91414568068367
TreVeyon Henderson,W4,58.59212389272944
Stefon Diggs,W4,83.04697029927469
Christian Gonzalez,W4,100.0
Kayshon Boutte,W4,50.89827691471106
Jalen Hurts,W5,47.34071864831645
Saquon Barkley,W5,35.042329335221375
AJ Brown,W5,41.47985332920872
Quinyon Mitchell,W5,47.72355781445204
Zack Baun,W5,23.182591351140267
Josh Allen,W5,35.86552739923071
James Cook,W5,23.52926210663896
Dalton Kincaid,W5,50.725381769501965
Matt Milano,W5,52.73868464131364
Greg Rousseau,W5,61.19831188290741
Joe Burrow,W5,50.44457472270255
JaMarr Chase,W5,44.972588801384575
Tee Higgins,W5,38.20498055900729
Trey Hendrickson,W5,37.41929604095992
Evan McPherson,W5,61.05236202456694
Daniel Jones,W5,36.26180274868424
Jonathan Taylor,W5,66.27100694227373
Michael Pittman Jr,W5,68.00997105793192
Quenton Nelson,W5,66.88754133113709
Laiatu Latu,W5,53.07545499141389
Patrick Mahomes,W5,57.55767927479067
Travis Kelce,W5,58.77129531432628
Chris Jones,W5,0.0
Trent McDuffie,W5,63.621902279266784
Xavier Worthy,W5,57.01831972888584
Baker Mayfield,W5,62.386929330752025
Mike Evans,W5,53.43678497885113
Chris Godwin,W5,57.58858214457254
Antoine Winfield Jr,W5,29.14024021459372
