level,alignment,pos_group,metric,n,pearson_r,pearson_p,spearman_r,spearman_p,distance_cor,pearson_sig,spearman_sig
population,concurrent (W vs W),QB,stats_passing_pass_td,152,-0.0141,0.8627,-0.0397,0.6274,0.1135,,
population,concurrent (W vs W),WR_TE,stats_receiving_rec_td,248,0.0205,0.7484,0.0376,0.5555,0.0941,,
population,concurrent (W vs W),WR_TE,total_opportunities,248,-0.0615,0.3351,-0.0365,0.5677,0.0854,,
population,perf leads (perf W -> sent W+1),QB,stats_snap_counts_offense_snaps,146,-0.0194,0.8164,-0.0357,0.6687,0.1064,,
population,sentiment index leads (sent W -> perf W+1),WR_TE,stats_snap_counts_offense_snaps,232,-0.046,0.4857,-0.0354,0.5919,0.0845,,
population,perf leads (perf W -> sent W+1),QB,stats_passing_pass_yards,146,-0.0218,0.794,-0.0348,0.6766,0.1033,,
population,concurrent (W vs W),QB,stats_passing_pass_completions,152,-0.0137,0.867,-0.0343,0.675,0.0999,,
population,concurrent (W vs W),QB,stats_passing_pass_yards,152,-0.0124,0.8799,-0.0323,0.6927,0.1087,,
population,concurrent (W vs W),QB,stats_passing_pass_attempts,152,-0.0131,0.8726,-0.0312,0.7026,0.0965,,
population,perf leads (perf W -> sent W+1),WR_TE,total_touches,234,-0.0432,0.5106,-0.0291,0.658,0.0845,,
population,concurrent (W vs W),WR_TE,stats_receiving_targets,248,-0.0565,0.3755,-0.0283,0.6572,0.0803,,
population,concurrent (W vs W),WR_TE,stats_receiving_rec_yards,248,-0.0015,0.9812,0.0279,0.6624,0.0882,,
population,concurrent (W vs W),WR_TE,stats_snap_counts_offense_snaps,248,-0.044,0.4907,-0.0272,0.6703,0.0861,,
population,perf leads (perf W -> sent W+1),QB,stats_passing_pass_completions,146,-0.0149,0.8586,-0.0265,0.7507,0.0933,,
population,perf leads (perf W -> sent W+1),DEF,stats_interceptions_passes_defended,202,0.0272,0.7011,0.0243,0.7309,0.1147,,
population,sentiment index leads (sent W -> perf W+1),WR_TE,stats_receiving_rec_yards,232,-0.0004,0.9947,0.0241,0.7149,0.0853,,
population,perf leads (perf W -> sent W+1),WR_TE,stats_receiving_receptions,234,-0.0385,0.558,-0.0229,0.7279,0.08,,
population,concurrent (W vs W),WR_TE,fantasy_points_ppr,248,-0.0075,0.9067,0.0221,0.7292,0.0869,,
population,perf leads (perf W -> sent W+1),WR_TE,fantasy_points_ppr,234,-0.0341,0.6033,-0.0199,0.7618,0.0863,,
population,perf leads (perf W -> sent W+1),WR_TE,stats_receiving_rec_yards,234,-0.0279,0.6707,-0.0177,0.7872,0.0888,,
population,perf leads (perf W -> sent W+1),QB,stats_passing_pass_attempts,146,-0.0063,0.9399,-0.0176,0.8333,0.0928,,
population,sentiment index leads (sent W -> perf W+1),QB,stats_rushing_rush_yards,142,-0.0439,0.6038,-0.0151,0.8582,0.1154,,
population,concurrent (W vs W),QB,stats_rushing_rush_yards,152,-0.0213,0.7942,0.0148,0.8566,0.1094,,
population,sentiment index leads (sent W -> perf W+1),WR_TE,total_touches,232,-0.0332,0.6151,-0.0107,0.8712,0.0834,,
population,sentiment index leads (sent W -> perf W+1),WR_TE,fantasy_points_ppr,232,-0.0153,0.8165,0.0092,0.8895,0.0821,,
population,perf leads (perf W -> sent W+1),QB,stats_passing_pass_int,146,-0.0367,0.6604,-0.009,0.9144,0.163,,
population,concurrent (W vs W),WR_TE,stats_receiving_receptions,248,-0.0253,0.6917,0.0079,0.9013,0.0812,,
population,concurrent (W vs W),DEF,stats_interceptions_interceptions,211,-0.0015,0.9831,-0.0066,0.9239,0.0827,,
population,concurrent (W vs W),WR_TE,total_touches,248,-0.0332,0.6033,-0.0063,0.9217,0.0837,,
population,sentiment index leads (sent W -> perf W+1),DEF,stats_tackles_tackle_total,198,-0.0214,0.7652,-0.0057,0.9364,0.1073,,
population,sentiment index leads (sent W -> perf W+1),WR_TE,stats_receiving_rec_td,232,-0.0152,0.8177,0.0054,0.9353,0.089,,
population,perf leads (perf W -> sent W+1),WR_TE,stats_receiving_rec_td,234,-0.0195,0.7669,-0.0053,0.9352,0.0886,,
population,concurrent (W vs W),DEF,stats_tackles_tackle_total,211,0.0068,0.9215,-0.0046,0.9467,0.0974,,
population,sentiment index leads (sent W -> perf W+1),WR_TE,stats_receiving_receptions,232,-0.0283,0.6677,-0.0018,0.9777,0.0812,,
population,concurrent (W vs W),DEF,stats_snap_counts_offense_snaps,211,-0.0175,0.8005,0.0003,0.9969,0.0859,,
