level,alignment,pos_group,metric,n,pearson_r,pearson_p,spearman_r,spearman_p,distance_cor,pearson_sig,spearman_sig
population,sentiment index leads (sent W -> perf W+1),RB,stats_receiving_rec_td,94,0.0037,0.9714,0.0113,0.9137,0.0615,,
population,perf leads (perf W -> sent W+1),WR_TE,stats_receiving_rec_td,234,-0.0394,0.5485,-0.0093,0.8879,0.0937,,
population,perf leads (perf W -> sent W+1),RB,stats_rushing_rush_td,96,0.0053,0.959,-0.0085,0.9345,0.161,,
population,sentiment index leads (sent W -> perf W+1),QB,stats_passing_qb_rating,142,-0.0237,0.7796,0.0066,0.9377,0.1079,,
population,concurrent (W vs W),RB,stats_receiving_targets,100,0.0015,0.9882,0.0057,0.9549,0.1597,,
population,concurrent (W vs W),DEF,stats_snap_counts_offense_snaps,211,-0.0036,0.9589,-0.0056,0.9353,0.0725,,
population,perf leads (perf W -> sent W+1),RB,total_touches,96,-0.0215,0.835,-0.0048,0.9632,0.172,,
population,concurrent (W vs W),RB,total_opportunities,100,0.052,0.6072,0.0045,0.9647,0.1696,,
population,perf leads (perf W -> sent W+1),WR_TE,stats_receiving_rec_yards,234,-0.018,0.7841,0.0034,0.9593,0.0724,,
population,perf leads (perf W -> sent W+1),RB,stats_receiving_receptions,96,0.0033,0.9749,0.0017,0.9866,0.1368,,
population,perf leads (perf W -> sent W+1),DEF,stats_tackles_sacks,202,-0.0073,0.9178,-0.0003,0.9964,0.1032,,
