level,alignment,pos_group,player,team,position,metric,n,pearson_r,pearson_p,spearman_r,spearman_p,distance_cor,pearson_sig,spearman_sig
per_player,concurrent (W vs W),WR_TE,Ja'Marr Chase,CIN,WR,fantasy_points_ppr,16,0.0008,0.9977,0.0324,0.905,0.272,,
per_player,concurrent (W vs W),QB,Jalen Hurts,PHI,QB,fantasy_points_ppr,16,-0.0812,0.7651,0.0265,0.9225,0.3214,,
per_player,sentiment leads (sent W → perf W+1),QB,Josh Allen,BUF,QB,fantasy_points_ppr,14,0.0081,0.978,0.0242,0.9346,0.4125,,
per_player,sentiment leads (sent W → perf W+1),WR_TE,George Pickens,DAL,WR,fantasy_points_ppr,15,-0.002,0.9943,0.0179,0.9496,0.2851,,
per_player,sentiment leads (sent W → perf W+1),RB,Kenneth Walker III,SEA,RB,fantasy_points_ppr,15,0.0942,0.7385,0.0143,0.9597,0.3116,,
per_player,concurrent (W vs W),QB,Dak Prescott,DAL,QB,fantasy_points_ppr,17,0.0602,0.8184,-0.0074,0.9777,0.3304,,
per_player,perf leads (perf W → sent W+1),RB,James Cook,BUF,RB,fantasy_points_ppr,15,-0.0118,0.9668,0.0036,0.9899,0.3147,,
per_player,concurrent (W vs W),RB,James Cook,BUF,RB,fantasy_points_ppr,17,-0.0063,0.9809,0.0,1.0,0.2728,,
per_player,concurrent (W vs W),WR_TE,Chris Godwin,TB,WR,fantasy_points_ppr,9,-0.1114,0.7753,0.0,1.0,0.333,,
per_player,perf leads (perf W → sent W+1),WR_TE,Xavier Worthy,KC,WR,fantasy_points_ppr,8,-0.178,0.6733,0.0,1.0,0.5446,,
per_player,concurrent (W vs W),DEF,Antoine Winfield Jr.,TB,FS,fantasy_points_ppr,13,,,,,0.0,,
per_player,concurrent (W vs W),DEF,Chris Jones,KC,DE,fantasy_points_ppr,7,,,,,0.0,,
per_player,concurrent (W vs W),DEF,Christian Gonzalez,NE,CB,fantasy_points_ppr,8,,,,,0.0,,
per_player,concurrent (W vs W),DEF,Devon Witherspoon,SEA,CB,fantasy_points_ppr,12,,,,,0.0,,
per_player,concurrent (W vs W),DEF,Gregory Rousseau,BUF,DE,fantasy_points_ppr,16,,,,,0.0,,
per_player,concurrent (W vs W),DEF,Jaylon Johnson,CHI,CB,fantasy_points_ppr,7,,,,,0.0,,
per_player,concurrent (W vs W),DEF,Laiatu Latu,IND,DE,fantasy_points_ppr,14,,,,,0.0,,
per_player,concurrent (W vs W),DEF,Matt Milano,BUF,OLB,fantasy_points_ppr,11,,,,,0.0,,
per_player,concurrent (W vs W),DEF,Quinnen Williams,NYJ,DT,fantasy_points_ppr,13,,,,,0.0,,
per_player,concurrent (W vs W),DEF,Quinyon Mitchell,PHI,CB,fantasy_points_ppr,16,,,,,0.0,,
per_player,concurrent (W vs W),DEF,Tariq Woolen,SEA,CB,fantasy_points_ppr,15,,,,,0.0,,
per_player,concurrent (W vs W),DEF,Trey Hendrickson,CIN,DE,fantasy_points_ppr,7,,,,,0.0,,
