level,alignment,pos_group,metric,n,pearson_r,pearson_p,spearman_r,spearman_p,distance_cor,pearson_sig,spearman_sig
population,sentiment leads (sent W → perf W+1),QB,stats_passing_pass_completions,133,-0.0648,0.4584,-0.0399,0.6484,0.1352,,
population,perf leads (perf W → sent W+1),WR_TE,stats_receiving_receptions,199,0.003,0.9667,0.0399,0.5759,0.1049,,
population,concurrent (W vs W),QB,stats_rushing_rush_td,152,-0.0599,0.4634,-0.0398,0.6268,0.0783,,
population,sentiment leads (sent W → perf W+1),DEF,stats_snap_counts_offense_snaps,140,0.0484,0.5702,0.0387,0.6496,0.0746,,
population,sentiment leads (sent W → perf W+1),RB,stats_receiving_targets,84,0.0738,0.5047,0.0366,0.7412,0.1805,,
population,sentiment leads (sent W → perf W+1),RB,stats_receiving_rec_yards,84,0.0037,0.973,0.0349,0.7525,0.1372,,
population,perf leads (perf W → sent W+1),WR_TE,stats_snap_counts_offense_snaps,199,-0.0239,0.7379,-0.0322,0.6515,0.1165,,
population,perf leads (perf W → sent W+1),QB,stats_passing_pass_td,137,0.0225,0.7945,0.031,0.7189,0.1039,,
population,sentiment leads (sent W → perf W+1),QB,fantasy_points_ppr,133,0.0204,0.8157,0.0304,0.7282,0.14,,
population,concurrent (W vs W),DEF,stats_tackles_sacks,175,0.0335,0.6599,0.0284,0.709,0.0958,,
population,concurrent (W vs W),QB,stats_passing_pass_completions,152,0.0398,0.6264,0.0282,0.73,0.1267,,
population,concurrent (W vs W),DEF,stats_fumbles_fum_forced,175,-0.0286,0.7072,-0.0265,0.7274,0.0764,,
population,perf leads (perf W → sent W+1),RB,total_touches,86,-0.0027,0.9804,0.0261,0.8117,0.1728,,
population,sentiment leads (sent W → perf W+1),QB,stats_passing_pass_td,133,0.0656,0.4531,0.0239,0.7845,0.1344,,
population,perf leads (perf W → sent W+1),WR_TE,stats_receiving_rec_yards,199,0.0115,0.8722,0.0237,0.7392,0.0833,,
population,concurrent (W vs W),DEF,stats_snap_counts_offense_snaps,175,0.0216,0.7769,0.0202,0.7905,0.0611,,
population,concurrent (W vs W),WR_TE,stats_receiving_targets,234,0.003,0.9641,0.0191,0.7713,0.1141,,
population,perf leads (perf W → sent W+1),WR_TE,stats_receiving_targets,199,-0.0527,0.4599,-0.0189,0.7912,0.1016,,
population,concurrent (W vs W),WR_TE,total_opportunities,234,0.0043,0.9483,0.0165,0.8018,0.1014,,
population,perf leads (perf W → sent W+1),WR_TE,total_opportunities,199,-0.0528,0.4591,-0.0161,0.8214,0.1109,,
population,perf leads (perf W → sent W+1),WR_TE,stats_receiving_rec_td,199,-0.0251,0.725,-0.0148,0.8353,0.0621,,
population,sentiment leads (sent W → perf W+1),QB,stats_passing_pass_int,133,-0.0569,0.5151,-0.0145,0.8687,0.0951,,
population,perf leads (perf W → sent W+1),RB,total_opportunities,86,-0.0129,0.9064,0.0139,0.8986,0.1669,,
population,sentiment leads (sent W → perf W+1),QB,stats_rushing_rush_yards,133,0.016,0.8546,0.0139,0.8736,0.1322,,
population,concurrent (W vs W),DEF,stats_tackles_tackle_total,175,-0.0569,0.4548,-0.0121,0.8738,0.1069,,
population,perf leads (perf W → sent W+1),QB,fantasy_points_ppr,137,0.0237,0.783,0.0115,0.8943,0.12,,
population,concurrent (W vs W),QB,stats_snap_counts_offense_snaps,152,0.0162,0.8427,0.0086,0.9164,0.1357,,
population,perf leads (perf W → sent W+1),RB,stats_snap_counts_offense_snaps,86,-0.0046,0.9667,0.0084,0.939,0.1481,,
population,perf leads (perf W → sent W+1),QB,stats_rushing_rush_td,137,-0.0468,0.5873,-0.008,0.9262,0.1041,,
population,perf leads (perf W → sent W+1),WR_TE,fantasy_points_ppr,199,-0.0087,0.9024,0.0079,0.9116,0.0925,,
population,sentiment leads (sent W → perf W+1),QB,stats_passing_pass_attempts,133,-0.0412,0.6379,-0.0042,0.9619,0.1474,,
population,perf leads (perf W → sent W+1),DEF,stats_tackles_sacks,146,0.003,0.9709,0.0021,0.9796,0.1149,,
