level,alignment,pos_group,player,team,position,metric,n,pearson_r,pearson_p,spearman_r,spearman_p,distance_cor,pearson_sig,spearman_sig
per_player,concurrent (W vs W),QB,Joe Burrow,CIN,QB,fantasy_points_ppr,8,-0.1217,0.774,-0.2143,0.6103,0.494,,
per_player,perf leads (perf W -> sent W+1),WR_TE,Tee Higgins,CIN,WR,fantasy_points_ppr,14,0.0658,0.8233,0.2088,0.4738,0.2735,,
per_player,concurrent (W vs W),WR_TE,Kayshon Boutte,NE,WR,fantasy_points_ppr,14,-0.1498,0.6093,-0.2046,0.4829,0.331,,
per_player,sentiment index leads (sent W -> perf W+1),WR_TE,Xavier Worthy,KC,WR,fantasy_points_ppr,13,-0.2842,0.3467,-0.1758,0.5656,0.3839,,
per_player,concurrent (W vs W),RB,James Cook,BUF,RB,fantasy_points_ppr,17,0.2147,0.4079,0.174,0.5041,0.3908,,
per_player,perf leads (perf W -> sent W+1),WR_TE,Xavier Worthy,KC,WR,fantasy_points_ppr,14,-0.1811,0.5356,-0.1692,0.563,0.4195,,
per_player,sentiment index leads (sent W -> perf W+1),QB,Josh Allen,BUF,QB,fantasy_points_ppr,15,0.2115,0.4493,0.1607,0.5672,0.3649,,
per_player,perf leads (perf W -> sent W+1),WR_TE,Ja'Marr Chase,CIN,WR,fantasy_points_ppr,15,-0.1839,0.5118,-0.1607,0.5672,0.3874,,
per_player,concurrent (W vs W),RB,TreVeyon Henderson,NE,RB,fantasy_points_ppr,17,0.1318,0.6141,0.1569,0.5477,0.2642,,
per_player,concurrent (W vs W),WR_TE,Mike Evans,TB,WR,fantasy_points_ppr,8,0.3912,0.3379,0.1557,0.7128,0.5267,,
per_player,concurrent (W vs W),WR_TE,Jaxon Smith-Njigba,SEA,WR,fantasy_points_ppr,17,-0.1332,0.6102,-0.1544,0.554,0.3208,,
per_player,concurrent (W vs W),RB,Kenneth Walker III,SEA,RB,fantasy_points_ppr,17,0.1651,0.5265,0.152,0.5604,0.3212,,
per_player,sentiment index leads (sent W -> perf W+1),WR_TE,Dalton Kincaid,BUF,TE,fantasy_points_ppr,11,0.1942,0.5671,0.1503,0.659,0.3419,,
per_player,perf leads (perf W -> sent W+1),RB,Javonte Williams,DAL,RB,fantasy_points_ppr,16,-0.1745,0.5181,-0.1471,0.5868,0.3722,,
per_player,perf leads (perf W -> sent W+1),WR_TE,Stefon Diggs,NE,WR,fantasy_points_ppr,16,-0.1272,0.6388,-0.1382,0.6097,0.2919,,
per_player,sentiment index leads (sent W -> perf W+1),QB,Caleb Williams,CHI,QB,fantasy_points_ppr,16,0.1883,0.485,0.1265,0.6407,0.3317,,
per_player,sentiment index leads (sent W -> perf W+1),WR_TE,Tee Higgins,CIN,WR,fantasy_points_ppr,14,-0.0262,0.9291,0.1253,0.6696,0.2885,,
per_player,perf leads (perf W -> sent W+1),WR_TE,Jaxon Smith-Njigba,SEA,WR,fantasy_points_ppr,16,-0.0723,0.7901,-0.1235,0.6485,0.3297,,
per_player,sentiment index leads (sent W -> perf W+1),QB,Baker Mayfield,TB,QB,fantasy_points_ppr,16,0.1599,0.5542,0.1235,0.6485,0.3564,,
per_player,perf leads (perf W -> sent W+1),QB,Baker Mayfield,TB,QB,fantasy_points_ppr,16,-0.0974,0.7198,-0.1088,0.6883,0.3633,,
per_player,sentiment index leads (sent W -> perf W+1),RB,TreVeyon Henderson,NE,RB,fantasy_points_ppr,16,-0.1672,0.5359,-0.1059,0.6963,0.3371,,
per_player,perf leads (perf W -> sent W+1),WR_TE,DJ Moore,CHI,WR,fantasy_points_ppr,16,-0.1143,0.6733,-0.0986,0.7164,0.363,,
per_player,perf leads (perf W -> sent W+1),QB,Josh Allen,BUF,QB,fantasy_points_ppr,16,-0.0137,0.9599,-0.0971,0.7207,0.2949,,
per_player,concurrent (W vs W),WR_TE,Rome Odunze,CHI,WR,fantasy_points_ppr,12,0.1937,0.5464,0.0946,0.77,0.3576,,
per_player,perf leads (perf W -> sent W+1),WR_TE,Rome Odunze,CHI,WR,fantasy_points_ppr,12,0.0177,0.9565,-0.0911,0.7783,0.4092,,
per_player,sentiment index leads (sent W -> perf W+1),RB,Saquon Barkley,PHI,RB,fantasy_points_ppr,15,0.0225,0.9366,-0.0893,0.7517,0.3449,,
per_player,sentiment index leads (sent W -> perf W+1),WR_TE,Ja'Marr Chase,CIN,WR,fantasy_points_ppr,15,0.1268,0.6525,0.0893,0.7517,0.3965,,
per_player,sentiment index leads (sent W -> perf W+1),WR_TE,Chris Godwin,TB,WR,fantasy_points_ppr,9,0.0455,0.9075,0.0833,0.8312,0.5296,,
per_player,perf leads (perf W -> sent W+1),WR_TE,A.J. Brown,PHI,WR,fantasy_points_ppr,15,0.1603,0.5681,0.075,0.7905,0.3614,,
per_player,concurrent (W vs W),RB,Saquon Barkley,PHI,RB,fantasy_points_ppr,16,0.0119,0.9651,-0.0735,0.7867,0.3354,,
per_player,sentiment index leads (sent W -> perf W+1),QB,Dak Prescott,DAL,QB,fantasy_points_ppr,16,0.1544,0.5682,0.0676,0.8034,0.4068,,
per_player,perf leads (perf W -> sent W+1),WR_TE,Chris Godwin,TB,WR,fantasy_points_ppr,8,0.0265,0.9503,0.0476,0.9108,0.4998,,
per_player,sentiment index leads (sent W -> perf W+1),WR_TE,Rome Odunze,CHI,WR,fantasy_points_ppr,11,0.1751,0.6065,0.0456,0.8942,0.3429,,
per_player,perf leads (perf W -> sent W+1),RB,Saquon Barkley,PHI,RB,fantasy_points_ppr,16,0.0295,0.9135,-0.0441,0.8711,0.291,,
per_player,perf leads (perf W -> sent W+1),QB,Patrick Mahomes,KC,QB,fantasy_points_ppr,14,-0.1866,0.5229,-0.0418,0.8873,0.3269,,
per_player,concurrent (W vs W),WR_TE,A.J. Brown,PHI,WR,fantasy_points_ppr,15,0.1283,0.6486,-0.0393,0.8894,0.2896,,
per_player,perf leads (perf W -> sent W+1),QB,Jalen Hurts,PHI,QB,fantasy_points_ppr,16,0.0574,0.8327,0.0382,0.8882,0.2907,,
per_player,sentiment index leads (sent W -> perf W+1),WR_TE,Kayshon Boutte,NE,WR,fantasy_points_ppr,13,0.0826,0.7885,-0.0358,0.9077,0.3449,,
per_player,sentiment index leads (sent W -> perf W+1),WR_TE,A.J. Brown,PHI,WR,fantasy_points_ppr,14,0.1175,0.6891,0.033,0.9109,0.3489,,
per_player,sentiment index leads (sent W -> perf W+1),QB,Jalen Hurts,PHI,QB,fantasy_points_ppr,15,-0.0575,0.8388,-0.0321,0.9095,0.3015,,
per_player,concurrent (W vs W),QB,Dak Prescott,DAL,QB,fantasy_points_ppr,17,0.0658,0.8018,-0.0294,0.9108,0.3642,,
per_player,perf leads (perf W -> sent W+1),RB,James Cook,BUF,RB,fantasy_points_ppr,16,-0.0044,0.9871,-0.0265,0.9225,0.3399,,
per_player,sentiment index leads (sent W -> perf W+1),RB,James Cook,BUF,RB,fantasy_points_ppr,16,0.0251,0.9265,-0.0265,0.9225,0.4081,,
per_player,concurrent (W vs W),QB,Jalen Hurts,PHI,QB,fantasy_points_ppr,16,0.0064,0.9812,-0.0265,0.9225,0.2887,,
per_player,concurrent (W vs W),WR_TE,CeeDee Lamb,DAL,WR,fantasy_points_ppr,14,0.0876,0.7658,-0.0154,0.9583,0.4067,,
per_player,concurrent (W vs W),WR_TE,DJ Moore,CHI,WR,fantasy_points_ppr,17,0.0988,0.7059,0.0147,0.9553,0.3245,,
per_player,sentiment index leads (sent W -> perf W+1),WR_TE,CeeDee Lamb,DAL,WR,fantasy_points_ppr,13,0.031,0.9199,-0.0138,0.9644,0.4657,,
